"","Year","Month","DayOfWeek","Bike","Trips"
"1","2020","Jan","Sun","Docked",8238
"2","2020","Jan","Mon","Docked",22474
"3","2020","Jan","Tue","Docked",26227
"4","2020","Jan","Wed","Docked",26492
"5","2020","Jan","Thu","Docked",28967
"6","2020","Jan","Fri","Docked",24530
"7","2020","Jan","Sat","Docked",6956
"8","2020","Feb","Sun","Docked",17929
"9","2020","Feb","Mon","Docked",23934
"10","2020","Feb","Tue","Docked",24238
"11","2020","Feb","Wed","Docked",20121
"12","2020","Feb","Thu","Docked",16889
"13","2020","Feb","Fri","Docked",19097
"14","2020","Feb","Sat","Docked",17377
"15","2020","Mar","Sun","Docked",24683
"16","2020","Mar","Mon","Docked",20370
"17","2020","Mar","Tue","Docked",24496
"18","2020","Mar","Wed","Docked",23298
"19","2020","Mar","Thu","Docked",20284
"20","2020","Mar","Fri","Docked",17036
"21","2020","Mar","Sat","Docked",13251
"22","2020","Apr","Sun","Docked",17915
"23","2020","Apr","Mon","Docked",10745
"24","2020","Apr","Tue","Docked",12813
"25","2020","Apr","Wed","Docked",8718
"26","2020","Apr","Thu","Docked",11703
"27","2020","Apr","Fri","Docked",9972
"28","2020","Apr","Sat","Docked",12910
"29","2020","May","Sun","Docked",26528
"30","2020","May","Mon","Docked",23658
"31","2020","May","Tue","Docked",17261
"32","2020","May","Wed","Docked",25006
"33","2020","May","Thu","Docked",20420
"34","2020","May","Fri","Docked",32724
"35","2020","May","Sat","Docked",54677
"36","2020","Jun","Sun","Docked",63033
"37","2020","Jun","Mon","Docked",36963
"38","2020","Jun","Tue","Docked",45970
"39","2020","Jun","Wed","Docked",39689
"40","2020","Jun","Thu","Docked",49223
"41","2020","Jun","Fri","Docked",43446
"42","2020","Jun","Sat","Docked",64681
"43","2020","Jul","Sun","Docked",75611
"44","2020","Jul","Mon","Docked",62548
"45","2020","Jul","Mon","Electric",8
"46","2020","Jul","Tue","Docked",62444
"47","2020","Jul","Tue","Electric",45
"48","2020","Jul","Wed","Docked",73584
"49","2020","Jul","Wed","Electric",300
"50","2020","Jul","Thu","Docked",84311
"51","2020","Jul","Thu","Electric",745
"52","2020","Jul","Fri","Docked",98643
"53","2020","Jul","Fri","Electric",837
"54","2020","Jul","Sat","Docked",92404
"55","2020","Aug","Sun","Docked",97613
