"","Year","Month","DayOfWeek","Rider","Trips"
"1","2020","Jan","Sun","Casual",920
"2","2020","Jan","Sun","Member",7318
"3","2020","Jan","Mon","Casual",863
"4","2020","Jan","Mon","Member",21611
"5","2020","Jan","Tue","Casual",1076
"6","2020","Jan","Tue","Member",25151
"7","2020","Jan","Wed","Casual",1289
"8","2020","Jan","Wed","Member",25203
"9","2020","Jan","Thu","Casual",1573
"10","2020","Jan","Thu","Member",27394
"11","2020","Jan","Fri","Casual",1342
"12","2020","Jan","Fri","Member",23188
"13","2020","Jan","Sat","Casual",722
"14","2020","Jan","Sat","Member",6234
"15","2020","Feb","Sun","Casual",4743
"16","2020","Feb","Sun","Member",13186
"17","2020","Feb","Mon","Casual",1067
"18","2020","Feb","Mon","Member",22867
"19","2020","Feb","Tue","Casual",938
"20","2020","Feb","Tue","Member",23300
"21","2020","Feb","Wed","Casual",962
"22","2020","Feb","Wed","Member",19159
"23","2020","Feb","Thu","Casual",664
"24","2020","Feb","Thu","Member",16225
"25","2020","Feb","Fri","Casual",1251
"26","2020","Feb","Fri","Member",17846
"27","2020","Feb","Sat","Casual",3245
"28","2020","Feb","Sat","Member",14132
"29","2020","Mar","Sun","Casual",9223
"30","2020","Mar","Sun","Member",15460
"31","2020","Mar","Mon","Casual",2925
"32","2020","Mar","Mon","Member",17445
"33","2020","Mar","Tue","Casual",3250
"34","2020","Mar","Tue","Member",21246
"35","2020","Mar","Wed","Casual",3682
"36","2020","Mar","Wed","Member",19616
"37","2020","Mar","Thu","Casual",2658
"38","2020","Mar","Thu","Member",17626
"39","2020","Mar","Fri","Casual",2574
"40","2020","Mar","Fri","Member",14462
"41","2020","Mar","Sat","Casual",3513
"42","2020","Mar","Sat","Member",9738
"43","2020","Apr","Sun","Casual",6475
"44","2020","Apr","Sun","Member",11440
"45","2020","Apr","Mon","Casual",2681
"46","2020","Apr","Mon","Member",8064
"47","2020","Apr","Tue","Casual",3656
"48","2020","Apr","Tue","Member",9157
"49","2020","Apr","Wed","Casual",1799
"50","2020","Apr","Wed","Member",6919
"51","2020","Apr","Thu","Casual",2439
"52","2020","Apr","Thu","Member",9264
"53","2020","Apr","Fri","Casual",2510
"54","2020","Apr","Fri","Member",7462
"55","2020","Apr","Sat","Casual",4068
"56","2020","Apr","Sat","Member",8842
"57","2020","May","Sun","Casual",13210
"58","2020","May","Sun","Member",13318
"59","2020","May","Mon","Casual",10543
"60","2020","May","Mon","Member",13115
"61","2020","May","Tue","Casual",6175
