"","Hour","Rider","Trips"
"1","0","Casual",312
"2","0","Member",1416
"3","1","Casual",224
"4","1","Member",842
"5","2","Casual",137
"6","2","Member",515
"7","3","Casual",101
"8","3","Member",378
"9","4","Casual",58
"10","4","Member",1028
"11","5","Casual",136
"12","5","Member",5165
"13","6","Casual",341
"14","6","Member",14827
"15","7","Casual",757
"16","7","Member",31690
"17","8","Casual",1345
"18","8","Member",41448
"19","9","Casual",1887
"20","9","Member",18971
"21","10","Casual",2758
"22","10","Member",12933
"23","11","Casual",3349
"24","11","Member",15846
"25","12","Casual",4245
"26","12","Member",18215
"27","13","Casual",5015
"28","13","Member",18156
"29","14","Casual",5406
"30","14","Member",17381
"31","15","Casual",5276
"32","15","Member",23120
"33","16","Casual",5110
"34","16","Member",39648
"35","17","Casual",4663
"36","17","Member",48238
"37","18","Casual",2776
"38","18","Member",28281
"39","19","Casual",1639
"40","19","Member",16721
"41","20","Casual",1031
"42","20","Member",9793
"43","21","Casual",903
"44","21","Member",7108
"45","22","Casual",596
"46","22","Member",4277
"47","23","Casual",415
"48","23","Member",2410
"49","0","Casual",120
"50","0","Member",209
"51","1","Casual",61
"52","1","Member",120
"53","2","Casual",43
"54","2","Member",101
"55","3","Casual",20
"56","3","Member",73
"57","4","Casual",30
"58","4","Member",102
"59","5","Casual",54
"60","5","Member",363
"61","6","Casual",151
"62","6","Member",1598
"63","7","Casual",320
"64","7","Member",2273
"65","8","Casual",400
"66","8","Member",2422
"67","9","Casual",585
"68","9","Member",2225
"69","10","Casual",891
"70","10","Member",2626
"71","11","Casual",1503
"72","11","Member",3719
"73","12","Casual",2046
"74","12","Member",4903
"75","13","Casual",2615
"76","13","Member",5189
"77","14","Casual",2830
"78","14","Member",5347
"79","15","Casual",2736
"80","15","Member",5760
"81","16","Casual",2586
"82","16","Member",6278
"83","17","Casual",2533
"84","17","Member",6367
"85","18","Casual",1785
"86","18","Member",4918
"87","19","Casual",1099
"88","19","Member",3262
"89","20","Casual",488
"90","20","Member",1554
"91","21","Casual",317
"92","21","Member",830
"93","22","Casual",260
"94","22","Member",516
"95","23","Casual",155
"96","23","Member",393
"97","0","Casual",920
