"","Year","Month","Rider","TripDuration"
"1","2020","Jan","Casual",9698.96917148362
"2","2020","Jan","Member",668.942255270061
"3","2020","Feb","Casual",7657.81041990669
"4","2020","Feb","Member",768.391240184666
"5","2020","Mar","Casual",3787.46591855204
"6","2020","Mar","Member",860.064355108008
"7","2020","Apr","Casual",4388.55327261173
"8","2020","Apr","Member",1288.8204607933
"9","2020","May","Casual",3073.26452705037
"10","2020","May","Member",1186.40378094868
"11","2020","Jun","Casual",3100.28736993322
"12","2020","Jun","Member",1123.99223804052
"13","2020","Jul","Casual",3597.28501877817
"14","2020","Jul","Member",1066.10544764806
"15","2020","Aug","Casual",2696.38533400789
"16","2020","Aug","Member",1010.17434533613
"17","2020","Sep","Casual",2293.39854987416
"18","2020","Sep","Member",932.518974587487
"19","2020","Oct","Casual",1815.53781373044
"20","2020","Oct","Member",843.039786779856
"21","2020","Nov","Casual",1909.36365497941
"22","2020","Nov","Member",815.398488190451
"23","2020","Dec","Casual",1611.1375608455
"24","2020","Dec","Member",764.999268319211
"25","2021","Jan","Casual",1541.07539879671
"26","2021","Jan","Member",772.37795225572
"27","2021","Feb","Casual",2962.68617966436
"28","2021","Feb","Member",1081.40723764182
"29","2021","Mar","Casual",2289.66013709716
"30","2021","Mar","Member",838.237940964723
"31","2021","Apr","Casual",2281.56311589428
"32","2021","Apr","Member",881.449317554162
"33","2021","May","Casual",2294.10799648096
"34","2021","May","Member",878.417738477052
"35","2021","Jun","Casual",2227.55684013426
"36","2021","Jun","Member",880.719537578052
"37","2021","Jul","Casual",1967.61069973372
"38","2021","Jul","Member",854.442288932654
"39","2021","Aug","Casual",1727.44686482085
"40","2021","Aug","Member",846.14548165776
"41","2021","Sep","Casual",1669.12912818821
"42","2021","Sep","Member",824.194604793473
"43","2021","Oct","Casual",1720.69902372834
"44","2021","Oct","Member",750.186309509484
"45","2021","Nov","Casual",1388.12868156132
"46","2021","Nov","Member",678.607012426485
"47","2021","Dec","Casual",1409.83939250527
"48","2021","Dec","Member",660.340913437201
"49","2022","Jan","Casual",1822.94259329265
"50","2022","Jan","Member",718.90745823949
"51","2022","Feb","Casual",1602.65671990287
"52","2022","Feb","Member",684.353561949252
"53","2022","Mar","Casual",1957.52169704253
"54","2022","Mar","Member",717.536688127736
"55","2022","Apr","Casual",1772.21198120223
"56","2022","Apr","Member",689.578045094355
"57","2022","May","Casual",1852.36170721182
"58","2022","May","Member",802.045868919342
"59","2022","Jun","Casual",1926.09143357307
"60","2022","Jun","Member",840.023295744234
"61","2022","Jul","Casual",1756.87351143929
"62","2022","Jul","Member",823.163975821927
"63","2022","Aug","Casual",1758.79092803843
"64","2022","Aug","Member",803.125158969387
"65","2022","Sep","Casual",1679.29745772996
"66","2022","Sep","Member",778.619169902349
"67","2022","Oct","Casual",1583.45776484607
"68","2022","Oct","Member",717.595199894755
"69","2022","Nov","Casual",1278.09045879574
"70","2022","Nov","Member",667.950826175955
"71","2022","Dec","Casual",1337.46323316478
"72","2022","Dec","Member",637.220465884106
"73","2023","Jan","Casual",1374.9935008124
"74","2023","Jan","Member",621.726538379644
"75","2023","Feb","Casual",1391.61568326591
"76","2023","Feb","Member",642.888076406506
