"","DayOfWeek","Rider","TripDuration"
"1","Sun","Casual",5710.56650544135
"2","Sun","Member",949.340145701257
"3","Mon","Casual",4482.7869637651
"4","Mon","Member",778.628587116257
"5","Tue","Casual",5097.57494279176
"6","Tue","Member",692.03229694248
"7","Wed","Casual",4544.94160708206
"8","Wed","Member",699.536434399325
"9","Thu","Casual",7620.14945372088
"10","Thu","Member",693.232541431954
"11","Fri","Casual",7145.62341710501
"12","Fri","Member",757.324131468935
"13","Sat","Casual",6017.15601604278
"14","Sat","Member",929.989237310656
"15","Sun","Casual",3534.95626641941
"16","Sun","Member",1604.96772500656
"17","Mon","Casual",3749.85970819304
"18","Mon","Member",1069.04913761013
"19","Tue","Casual",5068.89627805145
"20","Tue","Member",1304.26672496721
"21","Wed","Casual",3802.38050139276
"22","Wed","Member",979.634259259259
"23","Thu","Casual",4493.9901599016
"24","Thu","Member",1199.84173593868
"25","Fri","Casual",6638.25598086124
"26","Fri","Member",1103.24859211585
"27","Sat","Casual",4363.37392373924
"28","Sat","Member",1555.88946713429
"29","Sun","Casual",3375.34467085827
"30","Sun","Member",1277.5403110677
"31","Mon","Casual",3257.38273012254
"32","Mon","Member",1154.74200442714
"33","Tue","Casual",3070.0286825474
"34","Tue","Member",1057.15170670038
"35","Wed","Casual",2976.5984123532
"36","Wed","Member",1129.71023123218
"37","Thu","Casual",2936.58802055165
"38","Thu","Member",1098.36408401939
"39","Fri","Casual",3047.07797913234
"40","Fri","Member",1154.91803360923
"41","Sat","Casual",2940.20644927536
"42","Sat","Member",1308.39669513142
"43","Sun","Casual",3335.49140767825
"44","Sun","Member",1206.6890083989
"45","Mon","Casual",3141.27151810585
"46","Mon","Member",1027.24667199148
"47","Tue","Casual",2744.98857081244
"48","Tue","Member",1056.23589631092
"49","Wed","Casual",2708.47139084507
"50","Wed","Member",1151.75086373978
"51","Thu","Casual",3561.2286780894
"52","Thu","Member",1104.33150520133
"53","Fri","Casual",2922.90141220357
"54","Fri","Member",1066.02369533409
"55","Sat","Casual",3046.49389363494
"56","Sat","Member",1215.37157982014
"57","Sun","Casual",4260.18135397412
"58","Sun","Member",1165.40674800797
"59","Mon","Casual",3755.59914366927
"60","Mon","Member",1033.11077662315
"61","Tue","Casual",3138.64109128425
"62","Tue","Member",1038.97222686967
"63","Wed","Casual",3443.05342117279
